base_price,discounted_price,product_name,category
,"4,45",Graines de chia bio - 250g,"Epicerie,Céréales, graines, pâtes, riz,Graines oléagineuses"
,"4,16",Riz Rond complet bio - 1 kg,"Epicerie,Céréales, graines, pâtes, riz,Riz bio et équitable"
,"13,90",Farine de riz demi-complet 3Kg,"Epicerie,Farines, pains et tartines"
,"2,06",Grand épeautre bio - 500 g,"Epicerie,Céréales, graines, pâtes, riz,Flocons de Céréales"
,"2,85",Riz Thaï complet bio - 500g,"Epicerie,Céréales, graines, pâtes, riz,Riz bio et équitable"
,"55,00",Coffret jeu de dégustation vins BIO - 3x75CL,"Boissons,Vins Bio"
,"24,00",Coffret AOP Châteaux Bérard,"Boissons,Vins Bio"
,"29,00",Coffret Châteaux Girondin,"Boissons,Vins Bio"
,"26,66",Bordeaux blanc Cuvée Jarre Sauvignon 2016 75cl,"Boissons,Vins Bio"
,"13,70",Artemis - Côte du Rhône rouge sans sulfite ajouté,"Boissons,Vins Bio"
,"11,33",Perles roses Crémant 2014 75cl,"Boissons,Vins Bio"
,"39,00",Coffret Roussillon Village AOP,"Boissons,Vins Bio"
,"26,66",Bordeaux rouge Jarre Malbec 2015 75cl,"Boissons,Vins Bio"
,"13,14",Vin rouge Vaqueyras 2015 Bio et vegan 75cl,"Boissons,Vins Bio"
,"11,33",Bordeaux rouge Cuvée prestige 2012 75cl,"Boissons,Vins Bio"
,"9,33",Bordeaux blanc Cuvée prestige 2016 75cl,"Boissons,Vins Bio"
,"9,30",Château de Bosc - Côte du Rhône rouge sans sulfite ajouté,"Boissons,Vins Bio"
,"10,50","Crémant de Bordeaux Brut BIO ""Cuvée St Vincent"" BLANC","Boissons,Vins Bio"
,"10,93",Vin rouge St Nicolas de Bourgueil 2015 Bio 75cl,"Boissons,Vins Bio"
,"10,80",Vélocipède - Côte du Rhône rouge sans sulfite ajouté,"Boissons,Vins Bio"
,"72,90",Pack Jarre de fermentation 5L et Livre de recettes,"Cuisine,Conservation"
,"19,95",Bocal DIY Je fabrique moi-même mon Kéfir de Fruits Bio 1L,"Cuisine,Ustensiles de cuisine"
,"5,02",Nectar de Baobab Mangue 750 mL,"Boissons,Jus de fruits bio"
,"2,60",Kombucha Mélisse bio 250ml,"Boissons,Boisson bien être"
,"2,50",Kombucha Hibiscus 33cl,"Boissons,Boisson bien être"
,"2,15",Nectar de Baobab Guarana Gingembre 330 mL,"Boissons,Jus de fruits bio"
,"0,00",Nectar de Baobab Guarana Citron 330 mL,"Boissons,Jus de fruits bio"
,"34,00","Kit de fabrication du kéfir Blanc 1,4L","Cuisine,Conservation"
,"34,00","Kit de fabrication du kéfir Vert 1,4L","Cuisine,Conservation"
,"0,00",Nectar de Baobab Hibiscus 750 mL,"Boissons,Jus de fruits bio"
,"0,00",Nectar de Baobab naturel 750 mL,"Boissons,Jus de fruits bio"
,"55,00",Sève de Bouleau Fraîche Bio - Bib de 5L - OFFRE PRECOMMANDE,"Santé & Bien-être,Minceur, élimination,Détox"
,"29,00","Kit de fabrication du kéfir Blanc 84,8cl","Cuisine,Conservation"
,"29,00","Kit de fabrication du kéfir Vert 84,8cl","Cuisine,Conservation"
,"10,99","Crémant de Bordeaux Brut BIO ""Cuvée St Vincent"" ROSE 75cl","Boissons,Vins Bio"
,"19,90",Grains de Kéfir d'eau déshydratés 15g,"Cuisine,Conservation"
,"19,97",Jus de Curcuma 25cl,"Santé & Bien-être,Compléments alimentaires,Curcuma"
,"45,00",Le Clandestin IGP OC Blanc 2017 - Caisse de 6,"Boissons,Vins Bio"
,"44,99",La Matine IGP OC Rouge 2017 - Caisse de 6,"Boissons,Vins Bio"
,"12,50",Argousier 100% Pur Jus bio x 250mL,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"41,99",Vin IGP Méditerranée Rosé fruité 2017 - Caisse de 6,"Boissons,Vins Bio"
,"9,90",Kombucha sans sucre bio 2L,"Boissons,Boisson bien être"
,"41,99",Vin IGP Méditerranée Blanc 2017 - Caisse de 6,"Boissons,Vins Bio"
,"41,99",Vin IGP Méditerranée Rouge 2017 - Caisse de 6,"Boissons,Vins Bio"
,"38,05",Vin AOC Ventoux Rosé 2017 - Caisse de 6,"Boissons,Vins Bio"
,"3,20",Bière Blanche Louve bio 33cl 4%,"Boissons,Bières Bio"
,"41,99",Vin IGP Méditerranée Rosé 2017 - Caisse de 6,"Boissons,Vins Bio"
,"34,99",Coffret de 8 bières artisanales de la Loire,"Boissons,Bières Bio"
,"2,89",Bière de Vézelay brune bio 25cl,"Boissons,Bières Bio"
,"2,59",Bière de Vézelay blanche bio 25cl,"Boissons,Bières Bio"
,"9,90",Kombucha Black tea bio 2L,"Boissons,Boisson bien être"
,"9,90",Kombucha Mélisse bio 2L,"Boissons,Boisson bien être"
,"9,90",Kombucha Aloe vera bio 2L,"Boissons,Boisson bien être"
,"5,99",Boisson Kombucha Elixir 1L,"Boissons,Boisson bien être"
,"3,80",Kombucha sans sucre bio 500ml,"Boissons,Boisson bien être"
,"3,80",Kombucha Black tea bio 500ml,"Boissons,Boisson bien être"
,"3,60",Préparation pour kéfir de fruits 2x5g,"Epicerie,Condiments, Aides culinaires"
,"3,80",Kombucha Aloe vera bio 500ml,"Boissons,Boisson bien être"
"3,03","2,72",2 sachets Ferment Préparation Kéfir de Lait 6g,"Epicerie,Condiments, Aides culinaires"
,"19,95",Bocal DIY Je fabrique moi-même mon Kéfir de lait Bio 1L,"Cuisine,Ustensiles de cuisine"
,"2,60",Kombucha Black tea bio 250ml,"Boissons,Boisson bien être"
,"3,80",Kombucha Mélisse bio 500ml,"Boissons,Boisson bien être"
,"2,60",Kombucha sans sucre bio 250ml,"Boissons,Boisson bien être"
,"2,60",Kombucha Aloe vera bio 250ml,"Boissons,Boisson bien être"
,"2,50",Kombucha Ginger curcuma 33cl,"Boissons,Boisson bien être"
,"2,50",Kombucha Green cardamon 33cl,"Boissons,Boisson bien être"
"2,25","1,48",Nectar de Baobab Guarana Hibiscus 330 mL,"Boissons,Jus de fruits bio"
,"2,50",Kombucha Canelle Anis 33cl,"Boissons,Boisson bien être"
,"2,50",Kombucha Cool Menthe 33cl,"Boissons,Boisson bien être"
,"2,50",Kombucha Wonder ginger 33cl,"Boissons,Boisson bien être"
"36,39","21,83",Lot de 3 x Argousier 100% Pur Jus bio - 3 x 250mL,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
"49,90","44,91",Lot de 4 x Hydroxydase Menthe Bio - 4 x 10 Flacons de 20cL,"Santé & Bien-être,Minceur, élimination,Détox"
"71,25","42,75",Lot de 6 x Argousier 100% Pur Jus bio - 6 x 250mL,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"2,50",Kombucha Original 33cl,"Boissons,Boisson bien être"
"2,97","1,63",Boisson Thé matcha menthe Endurante - 330 ml,"Santé & Bien-être,Sport et Nutrition,Energie et endurance"
,"9,11",Vin rouge Corbières Prieuré St Jaume Bio 75cl,"Boissons,Vins Bio"
"2,49","2,24",Boisson Sève de bouleau Gingembre Citron Vert 33cL,"Santé & Bien-être,Minceur, élimination,Détox"
"49,90","44,91",Lot de 4 x Hydroxydase Citron Bio - 4 x 10 Flacons de 20cL,"Santé & Bien-être,Minceur, élimination,Détox"
,"8,00",Vin de France Colombard 2015 75cl,"Boissons,Vins Bio"
,"6,80",Château Morillon Bordeaux AOP rouge Bio 75cl,"Boissons,Vins Bio"
,"42,99",Lot de 4 x Hydroxydase - 4 x 10 Flacons de 20cL,"Santé & Bien-être,Minceur, élimination,Détox"
,"7,09",Vin blanc Chardonnay Nostre Terre vegan 75cl,"Boissons,Vins Bio"
,"8,19",Vin rosé de Provence Bio 75cl,"Boissons,Vins Bio"
,"6,71",Chardonnay Saint Louis blanc sec bio 75cl,"Boissons,Vins Bio"
,"6,50",Chardonnay IGP Blanc 2016,"Boissons,Vins Bio"
,"8,19",Vin rouge Bio La cabane des amoureux 75cl,"Boissons,Vins Bio"
"17,55","11,58",Vin rosé Corse Figari 2017 Bio 75cl,"Boissons,Vins Bio"
,"6,71",Vin rouge Pinot noir Bio 75cl,"Boissons,Vins Bio"
,"6,71",Vin blanc Pinot Grigio Bio 75cl,"Boissons,Vins Bio"
,"8,69",Protéines de Chanvre Bio 200g,"Santé & Bien-être,Sport et Nutrition,Protéines et barres protéinées"
,"8,00",Bordeaux rouge Superieur 2014 75cl,"Boissons,Vins Bio"
,"8,99",Nopal cru 50g,"Santé & Bien-être,Minceur, élimination,Elimination"
"14,98","9,89",Monbazillac Bois blanc 2015 Bio 50cl,"Boissons,Vins Bio"
"12,22","9,78",Rosé Côtes de Provence Bio 75cl,"Boissons,Vins Bio"
,"51,90",Spiruline Bio Poudre 1 kg,"Santé & Bien-être,Résistance et vitalité,Spiruline"
"1,69","1,11",Barre énergétique Citron Gingembre bio - 40 g,"Epicerie,Epicerie sucrée"
"2,36","1,77",Barre Paléo Granola Super Berry bio - 30 g,"Epicerie,Epicerie sucrée"
